id,posicao,apelido,clube,posicao,ultima_pontuacao,status,FD,G,CA,FC,FS,DD,GS,PP,SG,CV,FT,A,PE,RB,DP,I,FF
63000,184,Victor Ramos,Chapecoense,Zagueiro,0,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99535,185,Vinicius Junior,Flamengo,Atacante,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72362,186,Rodrigo Lindoso,Botafogo,Meia,0,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99258,187,Matheus Bezerra,Sport,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99588,188,Paulo Vitor,Vasco,Atacante,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99425,189,Felipe,Fluminense,Atacante,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99474,190,Wenderson,Botafogo,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99550,191,Fernando,Botafogo,Lateral,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72376,192,Cléber,Santos,Zagueiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72490,193,Fred,Vitória,Zagueiro,0,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63058,194,Willian Farias,Vitória,Meia,0,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63110,195,Alan Ruschel,Chapecoense,Lateral,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99379,196,Borges,Atlético-GO,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63158,197,Moisés,Palmeiras,Meia,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63172,198,Paulão,Vasco,Zagueiro,0,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72386,199,Hernane,Bahia,Atacante,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99615,200,Bruno Cosendey,Vasco,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99661,201,Igor Cássio,Botafogo,Atacante,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63177,202,Júnior Viçosa,Atlético-GO,Atacante,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63219,203,Luan,Atlético-MG,Atacante,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63013,204,Marcos Rocha,Atlético-MG,Lateral,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68698,205,Bruno Silva,Botafogo,Meia,0,Suspenso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99616,206,Felipe Saraiva,Ponte Preta,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72491,207,Bressan,Grêmio,Zagueiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63128,208,Douglas,São Paulo,Zagueiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63422,209,Jucilei,São Paulo,Meia,0,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99625,210,Conrado,Grêmio,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72565,211,Luan,Avaí,Meia,0,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99669,212,Elano,Santos,Técnico,0,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
